word,count
code,2729
bip,1730
bitcoin,1307
transaction,1263
block,1048
1,1010
key,939
0,903
pre,736
tt,706
s,695
https,675
transactions,661
hash,640
2,638
script,610
version,608
com,602
comments,597
message,539
new,519
sub,516
byte,495
size,488
signature,481
address,477
bytes,467
public,458
number,453
value,451
data,449
type,444
use,441
github,435
time,425
payment,409
set,404
witness,397
blocks,392
input,389
output,374
mediawiki,357
bit,304
network,303
consensus,294
protocol,293
node,287
keys,285
following,283
m,281
3,277
n,271
ref,266
32,264
peer,256
4,255
nodes,254
outputs,253
implementation,251
inputs,250
signatures,241
chain,238
wallet,234
bips,230
org,230
bits,230
standard,222
fork,217
private,211
non,207
format,206
return,204
messages,204
stack,201
change,199
proof,199
proposal,198
required,197
wallets,195
valid,194
example,192
sender,190
p,189
case,188
clients,188
string,188
user,187
server,186
field,184
filter,182
rules,180
receiver,178
request,177
psbt,176
client,175
sha256,174
length,172
tree,171
order,169
license,166
t,164
defined,162
header,160
k,159
possible,158
master,158
specification,157
soft,153
x,153
peers,150
deployment,150
path,149
support,148
index,148
addresses,147
id,146
tx,144
software,143
based,142
encoded,142
scripts,140
list,139
miners,139
scriptpubkey,136
invalid,135
single,132
height,132
merkle,132
blockchain,129
pubkey,129
pay,129
http,128
allow,128
future,128
segwit,128
e,127
nversion,127
8,127
r,127
h,126
different,125
reference,124
given,123
limit,123
way,122
dandelion,121
derivation,119
original,118
service,118
information,117
allows,117
p2sh,117
00,117
sup,116
alice,116
created,115
5,115
serialized,114
document,113
class,111
process,110
uri,110
blob,110
funds,110
validation,109
optional,108
purpose,108
values,108
services,107
fee,107
sent,106
wikitable,105
sequence,105
encoding,104
like,103
users,103
description,103
algorithm,102
root,102
send,101
result,101
c,101
bsd,100
existing,100
nonce,100
clause,99
lock,99
verify,99
current,95
multiple,95
template,95
20,95
maximum,95
b,95
bob,95
previous,94
provided,93
create,93
program,93
second,92
