id,status,compliance_score,bip2_score,bip3_score
1,Replaced,48.48,41.18,56.25
2,Active,68.57,58.82,77.78
8,Draft,85.29,82.35,88.24
9,Final,79.41,76.47,82.35
10,Withdrawn,60.61,58.82,62.5
11,Final,63.64,64.71,62.5
12,Withdrawn,69.7,76.47,62.5
13,Final,69.7,76.47,62.5
14,Final,48.48,47.06,50.0
15,Deferred,45.45,41.18,50.0
16,Final,72.73,82.35,62.5
17,Withdrawn,82.35,88.24,76.47
18,Proposed,82.35,88.24,76.47
19,Rejected,76.47,76.47,76.47
20,Replaced,76.47,76.47,76.47
21,Final,63.64,64.71,62.5
22,Final,79.41,82.35,76.47
23,Final,79.41,82.35,76.47
30,Final,76.47,76.47,76.47
31,Final,60.61,58.82,62.5
32,Final,48.28,64.71,25.0
33,Rejected,60.61,64.71,56.25
34,Final,60.61,58.82,62.5
35,Final,60.61,58.82,62.5
36,Rejected,76.47,76.47,76.47
37,Final,73.53,70.59,76.47
38,Draft,82.35,88.24,76.47
39,Proposed,60.61,58.82,62.5
42,Final,64.71,58.82,70.59
43,Final,60.61,52.94,68.75
44,Proposed,57.58,52.94,62.5
45,Proposed,57.58,58.82,56.25
47,Draft,37.93,52.94,16.67
48,Proposed,76.47,76.47,76.47
49,Final,73.53,70.59,76.47
50,Final,61.76,52.94,70.59
52,Draft,76.47,70.59,82.35
60,Draft,73.53,70.59,76.47
61,Final,60.61,58.82,62.5
62,Withdrawn,51.72,70.59,25.0
64,Obsolete,60.61,58.82,62.5
65,Final,73.53,70.59,76.47
66,Final,73.53,70.59,76.47
67,Proposed,73.53,76.47,70.59
68,Final,60.61,64.71,56.25
69,Proposed,76.47,76.47,76.47
70,Final,63.64,64.71,62.5
71,Final,60.61,58.82,62.5
72,Final,63.64,64.71,62.5
73,Final,57.58,58.82,56.25
74,Rejected,76.47,76.47,76.47
75,Final,70.59,70.59,70.59
78,Draft,68.57,58.82,77.78
79,Replaced,79.41,76.47,82.35
80,Deferred,70.59,64.71,76.47
81,Deferred,70.59,64.71,76.47
83,Rejected,76.47,76.47,76.47
84,Draft,73.53,64.71,82.35
85,Draft,88.24,88.24,88.24
86,Draft,73.53,64.71,82.35
87,Proposed,85.29,94.12,76.47
88,Proposed,76.47,70.59,82.35
90,Final,79.41,76.47,82.35
91,Final,82.35,88.24,76.47
98,Draft,79.41,76.47,82.35
99,Rejected,70.59,64.71,76.47
100,Rejected,73.53,70.59,76.47
101,Withdrawn,63.64,64.71,62.5
102,Rejected,60.61,58.82,62.5
103,Withdrawn,76.47,76.47,76.47
104,Rejected,76.47,76.47,76.47
105,Rejected,79.41,82.35,76.47
106,Rejected,63.64,64.71,62.5
107,Rejected,76.47,76.47,76.47
109,Rejected,73.53,76.47,70.59
111,Proposed,79.41,82.35,76.47
112,Final,79.41,82.35,76.47
113,Final,73.53,76.47,70.59
114,Rejected,82.35,88.24,76.47
115,Rejected,82.35,88.24,76.47
116,Draft,82.35,82.35,82.35
117,Draft,82.35,82.35,82.35
118,Draft,74.29,64.71,83.33
119,Draft,85.29,88.24,82.35
120,Withdrawn,72.73,82.35,62.5
121,Withdrawn,66.67,70.59,62.5
122,Draft,79.41,76.47,82.35
123,Active,76.47,70.59,82.35
124,Rejected,79.41,76.47,82.35
125,Proposed,73.53,70.59,76.47
126,Draft,67.65,58.82,76.47
127,Draft,76.47,70.59,82.35
129,Proposed,67.65,58.82,76.47
130,Proposed,73.53,70.59,76.47
131,Rejected,70.59,70.59,70.59
132,Withdrawn,76.47,70.59,82.35
133,Draft,76.47,70.59,82.35
134,Rejected,79.41,82.35,76.47
135,Rejected,85.71,88.24,83.33
136,Draft,73.53,58.82,88.24
137,Final,79.41,82.35,76.47
140,Rejected,79.41,82.35,76.47
141,Final,79.41,82.35,76.47
142,Withdrawn,82.35,88.24,76.47
143,Final,76.47,82.35,70.59
144,Final,76.47,76.47,76.47
145,Final,79.41,82.35,76.47
146,Withdrawn,73.53,70.59,76.47
147,Final,73.53,70.59,76.47
148,Final,82.35,88.24,76.47
149,Withdrawn,85.29,94.12,76.47
150,Draft,82.35,82.35,82.35
151,Withdrawn,79.41,82.35,76.47
