source,target,value
2,1,1
2,123,1
8,9,1
8,34,1
8,65,1
8,66,1
9,34,1
9,65,1
9,66,1
12,16,1
12,11,1
13,16,1
15,37,1
16,11,1
16,12,1
16,13,1
17,12,1
17,16,1
18,12,1
18,17,1
18,16,1
18,13,1
18,11,1
19,11,1
21,20,1
22,23,1
22,34,1
22,16,1
23,22,1
33,37,1
39,32,1
42,16,1
42,34,1
42,62,1
43,32,1
44,32,1
44,43,1
45,32,1
45,43,1
45,16,1
47,32,1
47,43,1
47,44,1
48,32,1
48,43,1
48,44,1
48,67,1
49,32,1
49,44,1
49,141,1
49,16,1
60,14,1
60,34,1
60,37,1
61,14,1
62,34,1
64,37,1
65,9,1
65,66,1
66,34,1
66,62,1
67,11,1
67,16,1
68,9,1
68,112,1
68,113,1
69,30,1
70,71,1
71,70,1
72,21,1
72,70,1
73,70,1
73,21,1
74,70,1
75,70,1
78,21,1
78,174,1
79,21,1
79,69,1
79,125,1
79,141,1
80,32,1
80,43,1
80,44,1
81,32,1
81,43,1
81,44,1
83,32,1
84,32,1
84,43,1
84,44,1
84,49,1
84,141,1
84,173,1
85,32,1
85,39,1
86,32,1
86,44,1
86,49,1
86,84,1
86,341,1
87,32,1
87,43,1
87,44,1
87,67,1
87,129,1
88,32,1
90,34,1
90,65,1
90,66,1
90,9,1
91,9,1
91,141,1
91,143,1
91,147,1
98,116,1
99,9,1
99,16,1
100,34,1
101,34,1
101,9,1
101,100,1
102,9,1
104,9,1
104,141,1
105,34,1
105,100,1
106,100,1
106,101,1
107,101,1
109,9,1
111,37,1
112,9,1
112,68,1
112,113,1
113,9,1
113,65,1
113,68,1
113,112,1
114,16,1
114,141,1
114,112,1
114,9,1
115,9,1
116,8,1
116,98,1
117,16,1
117,141,1
117,116,1
117,8,1
118,340,1
118,341,1
118,342,1
119,9,1
119,341,1
120,21,1
120,121,1
121,21,1
121,70,1
121,120,1
124,32,1
124,65,1
124,112,1
125,68,1
125,112,1
126,69,1
127,174,1
129,32,1
129,39,1
129,322,1
132,1,1
133,37,1
134,68,1
135,9,1
135,34,1
135,65,1
135,66,1
136,173,1
136,350,1
137,322,1
137,16,1
137,173,1
140,11,1
141,16,1
141,143,1
141,144,1
141,173,1
142,141,1
142,16,1
143,141,1
143,144,1
144,141,1
145,22,1
145,141,1
145,9,1
145,23,1
146,66,1
146,141,1
146,9,1
147,9,1
147,141,1
147,143,1
148,9,1
148,141,1
148,143,1
148,147,1
149,8,1
149,9,1
149,141,1
149,143,1
149,147,1
150,151,1
152,130,1
152,141,1
152,144,1
157,158,1
158,157,1
173,13,1
173,16,1
173,141,1
173,143,1
173,142,1
174,32,1
174,127,1
174,143,1
174,341,1
174,370,1
174,371,1
175,32,1
175,43,1
175,44,1
178,16,1
178,141,1
178,173,1
180,141,1
197,199,1
199,16,1
199,65,1
199,112,1
300,9,1
300,118,1
301,141,1
310,9,1
320,8,1
320,9,1
322,325,1
322,340,1
325,141,1
326,68,1
326,112,1
326,341,1
330,141,1
330,339,1
330,340,1
338,37,1
338,60,1
339,141,1
339,144,1
340,118,1
340,32,1
341,9,1
341,114,1
341,117,1
341,141,1
341,143,1
341,340,1
341,342,1
342,65,1
342,112,1
342,141,1
342,340,1
342,341,1
343,8,1
343,340,1
343,341,1
343,342,1
350,173,1
350,141,1
351,32,1
351,43,1
351,44,1
351,350,1
370,174,1
371,174,1
371,370,1
371,340,1
371,341,1
371,342,1
371,32,1
372,174,1
372,370,1
372,340,1
380,32,1
380,381,1
380,382,1
380,383,1
380,384,1
380,385,1
380,386,1
381,380,1
382,380,1
382,141,1
383,380,1
383,16,1
384,16,1
384,141,1
384,380,1
385,380,1
386,341,1
386,340,1
386,380,1
