id,unique_terms,total_terms
1,239,1103
10,91,307
100,88,428
101,161,660
102,31,77
103,98,315
104,76,279
105,64,219
106,78,355
107,99,374
109,87,287
11,75,245
111,56,199
112,255,1121
113,82,286
114,316,1871
115,118,429
116,216,784
117,230,1090
118,264,1489
119,518,2534
12,89,351
120,123,543
121,87,465
122,71,247
123,172,1283
124,92,504
125,130,592
126,104,526
127,150,638
129,267,2003
13,62,196
130,37,145
131,66,278
132,112,507
133,45,184
134,189,691
135,223,1212
136,338,3325
137,143,637
14,93,366
140,207,1048
141,358,2094
142,93,396
143,261,1779
144,86,303
145,118,407
146,129,641
147,59,230
148,83,305
149,51,174
15,285,1207
150,121,836
151,163,724
152,358,2301
154,422,2526
155,147,668
156,241,1230
157,269,1620
158,267,1411
159,46,181
16,131,536
17,123,454
171,203,1003
173,284,1536
174,559,4883
175,171,802
176,54,201
178,64,243
179,30,113
18,140,553
180,132,656
19,64,237
197,167,958
199,77,216
2,484,2587
20,142,610
21,97,355
22,197,849
23,231,1004
30,66,221
300,256,1135
301,133,559
31,42,122
310,182,917
32,300,2140
320,61,218
322,146,715
325,116,475
326,129,556
33,92,337
330,310,1637
338,79,357
339,51,191
34,32,119
340,469,2971
341,585,3376
342,299,1791
343,72,265
35,26,87
350,342,2089
351,210,1149
36,151,707
37,266,1277
370,228,2192
371,208,1264
372,148,549
38,378,2160
380,194,1013
381,49,249
382,43,198
383,56,259
384,36,124
385,32,140
386,68,341
39,102,472
42,63,157
43,30,108
44,94,517
45,139,699
47,303,1852
48,102,577
49,79,347
50,125,409
52,370,1628
60,78,243
61,78,277
62,193,842
64,75,257
65,194,759
66,136,647
67,100,383
68,214,1090
69,150,671
70,238,1146
71,21,74
72,42,156
73,61,283
74,85,342
75,380,2248
78,400,2764
79,149,622
8,222,1087
80,55,172
81,46,162
83,103,381
84,68,286
85,190,1089
86,71,308
87,179,983
88,193,1004
9,203,898
90,105,418
91,110,462
98,297,1521
99,254,1093
