author,degree,betweenness,closeness,eigenvector
Pieter Wuille,0.11363636363636365,0.05777238029146426,0.14025974025974022,0.574769771748046
Andrew Poelstra,0.03787878787878788,0.004048114735137636,0.09818181818181818,0.2667024758633513
Ava Chow,0.030303030303030304,0.0,0.0972097209720972,0.2585861452040019
Sanket Kanjalkar,0.030303030303030304,0.0,0.0972097209720972,0.2585861452040019
Antoine Poinsot,0.030303030303030304,0.0,0.0972097209720972,0.2585861452040019
Tim Ruffing,0.03787878787878788,0.002255378209576683,0.10018552875695733,0.2412956238658097
Jonas Schnelli,0.03787878787878788,0.007864908628267407,0.10018552875695733,0.21146153386999267
Jonas Nick,0.030303030303030304,0.002081887578070784,0.09917355371900825,0.20168918615970122
Dhruv Mehta,0.022727272727272728,0.0,0.09818181818181818,0.19556566883628726
Peter Todd,0.03787878787878788,0.021397177885727505,0.10789210789210787,0.19292779395532791
Greg Maxwell,0.022727272727272728,0.0,0.10121836925960637,0.1804594696920279
Rusty Russell,0.022727272727272728,0.0,0.10121836925960637,0.1804594696920279
Eric Lombrozo,0.03787878787878788,0.029030765671987046,0.11416490486257928,0.1642259518762166
Anthony Towns,0.030303030303030304,0.007980569049271339,0.09917355371900825,0.15932349738609383
Johnson Lau,0.015151515151515152,0.0,0.10334928229665072,0.14065051611866952
Gleb Naumenko,0.007575757575757576,0.0,0.0935064935064935,0.10939395514942918
Elliott Jin,0.015151515151515152,0.0,0.07610993657505284,0.08431177633511983
Mark Friedenbach,0.045454545454545456,0.016597270414064308,0.0909090909090909,0.05908093265216371
BtcDrak,0.03787878787878788,0.005146888734674994,0.08845208845208845,0.057106283953719195
Leon Olsson Curr and Pearlwort Sneed,0.007575757575757576,0.0,0.07272727272727272,0.0507605655636784
Велеслав,0.015151515151515152,0.0,0.07438016528925619,0.04970738213488901
Daniel Pape,0.015151515151515152,0.0,0.07438016528925619,0.04970738213488901
Matt Corallo,0.030303030303030304,0.015382835993523017,0.08320493066255778,0.04125920386932136
David A. Harding,0.007575757575757576,0.0,0.0779220779220779,0.03671928392274432
William Swanson,0.007575757575757576,0.0,0.08114199849737039,0.031256560969240337
Christian Decker,0.007575757575757576,0.0,0.07327001356852103,0.03032349365607325
Karl-Johan Alm,0.007575757575757576,0.0,0.07327001356852103,0.03032349365607325
Nicolas Dorier,0.022727272727272728,0.0,0.06963249516441004,0.02731164514567674
kinoshitajona,0.022727272727272728,0.0,0.06963249516441004,0.02731164514567674
Kalle Alm,0.015151515151515152,0.0,0.06914212548015364,0.022113513596349235
Thomas Kerin,0.022727272727272728,0.007864908628267407,0.07063440156965337,0.012349704432897027
Mike Hearn,0.015151515151515152,0.004048114735137636,0.0650210716435882,0.008147872635410357
Nils Schneider,0.007575757575757576,0.0,0.0641711229946524,0.007852722462865044
Bastien Teinturier,0.007575757575757576,0.0,0.0641711229946524,0.007852722462865044
Jean-Pierre Rupp,0.015151515151515152,0.0,0.056752496058854435,0.002902993590675247
Ruben de Vries,0.015151515151515152,0.0,0.056752496058854435,0.002902993590675247
Gavin Andresen,0.007575757575757576,0.0,0.052785923753665684,0.0015507565941238483
Brad Denby,0.03787878787878788,0.0,0.03787878787878788,0.0005090979615769333
Andrew Miller,0.03787878787878788,0.0,0.03787878787878788,0.0005090979615769333
Giulia Fanti,0.03787878787878788,0.0,0.03787878787878788,0.0005090979615769333
Surya Bakshi,0.03787878787878788,0.0,0.03787878787878788,0.0005090979615769333
Shaileshh Bojja Venkatakrishnan,0.03787878787878788,0.0,0.03787878787878788,0.0005090979615769333
Pramod Viswanath,0.03787878787878788,0.0,0.03787878787878788,0.0005090979615769333
Hugo Nguyen,0.030303030303030304,0.0,0.030303030303030304,9.7269558149532e-16
Peter Gray,0.030303030303030304,0.0,0.030303030303030304,9.7269558149532e-16
Marko Bencun,0.030303030303030304,0.0,0.030303030303030304,9.7269558149532e-16
Aaron Chen,0.030303030303030304,0.0,0.030303030303030304,9.7269558149532e-16
Rodolfo Novak,0.030303030303030304,0.0,0.030303030303030304,9.7269558149532e-16
Aaron Voisine,0.05303030303030303,0.002197547999074717,0.05387205387205387,1.152180308482274e-18
Sean Bowe,0.030303030303030304,0.0008096229470275272,0.0404040404040404,7.161944837961546e-19
Marek Palatinus,0.022727272727272728,0.0,0.037296037296037296,6.762336850828462e-19
Pavol Rusnak,0.022727272727272728,0.0,0.037296037296037296,6.762336850828462e-19
Justin Newton,0.022727272727272728,0.0,0.03463203463203463,6.535662021736097e-19
Matt David,0.022727272727272728,0.0,0.03463203463203463,6.535662021736097e-19
James MacWhyte,0.022727272727272728,0.0,0.03463203463203463,6.535662021736097e-19
Mike Caldwell,0.007575757575757576,0.0,0.030303030303030304,3.0619372010142003e-19
Daira Hopwood,0.007575757575757576,0.0,0.025518341307814992,1.9032980488837662e-19
Ruben Somsen,0.022727272727272728,0.0002313208420078649,0.022727272727272728,5.929078288227507e-45
Andrew Toth,0.015151515151515152,0.0,0.017045454545454544,5.067213711119863e-45
Sebastian Falbesoner,0.015151515151515152,0.0,0.017045454545454544,5.067213711119863e-45
josibake,0.007575757575757576,0.0,0.013636363636363636,2.7321852491906017e-45
Jeff Garzik,0.015151515151515152,0.0,0.015151515151515152,1.4267963834973028e-48
