source,target,count
Final,Standards Track,53
Draft,Standards Track,34
Applications,Final,32
Applications,Draft,25
Rejected,Standards Track,20
Consensus (soft fork),Final,17
Draft,Informational,15
Final,Informational,15
Withdrawn,Standards Track,12
Peer Services,Final,12
Consensus (soft fork),Draft,11
Proposed,Standards Track,10
Applications,Proposed,10
Consensus (hard fork),Rejected,9
Applications,Rejected,6
Peer Services,Draft,6
Other,Draft,5
Consensus (soft fork),Withdrawn,5
Other,Final,4
Applications,Withdrawn,4
Peer Services,Rejected,4
Rejected,Informational,4
Other,Active,3
API/RPC,Final,3
Consensus (soft fork),Rejected,3
Active,Process,2
Deferred,Standards Track,2
Applications,Replaced,2
Replaced,Standards Track,2
Proposed,Informational,2
Other,Deferred,2
Deferred,Informational,2
Other,Rejected,2
Consensus (hard fork),Withdrawn,2
Peer Services,Withdrawn,2
Other,Replaced,1
Replaced,Process,1
Withdrawn,Informational,1
Applications,Deferred,1
Consensus (soft fork),Proposed,1
Consensus (hard fork),Draft,1
Peer Services,Obsolete,1
Obsolete,Standards Track,1
Replaced,Informational,1
Peer Services,Proposed,1
Other,Withdrawn,1
Withdrawn,Process,1
Peer Services,Deferred,1
Peer Services,Replaced,1
Active,Informational,1
API/RPC,Draft,1
