source,target,value
2,1,1
2,123,1
8,9,1
8,34,1
8,65,1
8,66,1
9,34,1
9,65,1
9,66,1
13,16,1
16,11,1
16,13,1
17,12,1
17,16,1
18,11,1
18,12,1
18,13,1
18,16,1
18,17,1
19,11,1
21,20,1
22,16,1
22,23,1
22,34,1
23,22,1
34,2,1
39,32,1
42,16,1
42,34,1
42,62,1
43,32,1
44,32,1
44,43,1
45,32,1
45,43,1
46,32,1
46,44,1
46,49,1
46,65,1
46,84,1
46,86,1
47,32,1
47,43,1
47,44,1
48,32,1
48,43,1
48,44,1
48,67,1
49,16,1
49,32,1
49,44,1
49,141,1
53,37,1
54,16,1
54,30,1
54,34,1
60,14,1
60,37,1
62,34,1
62,66,1
65,9,1
65,66,1
66,34,1
67,11,1
67,16,1
68,9,1
68,112,1
68,113,1
69,30,1
70,71,1
70,72,1
71,70,1
72,21,1
72,70,1
73,21,1
73,70,1
74,70,1
75,70,1
77,21,1
77,78,1
77,173,1
77,174,1
77,321,1
77,324,1
78,21,1
78,174,1
79,21,1
79,69,1
79,125,1
79,141,1
80,32,1
80,43,1
80,44,1
81,32,1
81,43,1
81,44,1
83,32,1
84,32,1
84,39,1
84,43,1
84,44,1
84,49,1
84,132,1
84,141,1
84,173,1
85,32,1
85,39,1
86,32,1
86,44,1
86,49,1
86,84,1
86,341,1
87,32,1
87,43,1
87,44,1
87,67,1
87,129,1
87,174,1
88,32,1
89,32,1
89,340,1
89,341,1
90,9,1
90,34,1
90,65,1
90,66,1
91,9,1
91,141,1
91,143,1
91,147,1
93,17,1
93,32,1
94,341,1
98,116,1
99,9,1
100,34,1
101,9,1
101,34,1
101,100,1
104,9,1
105,34,1
107,101,1
109,9,1
110,9,1
110,16,1
110,141,1
110,341,1
111,37,1
112,9,1
112,68,1
112,113,1
113,9,1
113,65,1
113,68,1
113,112,1
114,9,1
114,141,1
115,9,1
116,8,1
116,16,1
116,98,1
117,8,1
117,16,1
117,116,1
117,141,1
118,340,1
118,341,1
118,342,1
119,341,1
120,121,1
121,21,1
121,70,1
121,120,1
124,32,1
124,65,1
124,112,1
125,68,1
125,112,1
127,174,1
128,65,1
128,68,1
128,112,1
129,32,1
129,39,1
129,174,1
129,322,1
129,380,1
129,381,1
129,382,1
129,383,1
132,1,1
133,37,1
134,68,1
135,9,1
136,173,1
136,350,1
137,16,1
137,141,1
137,173,1
137,322,1
140,11,1
141,9,1
141,16,1
141,143,1
141,144,1
142,13,1
142,16,1
142,141,1
143,141,1
143,144,1
144,130,1
144,141,1
145,9,1
145,22,1
145,23,1
145,141,1
146,9,1
146,66,1
146,141,1
147,9,1
147,62,1
147,141,1
147,143,1
148,9,1
148,141,1
148,143,1
148,147,1
149,8,1
149,9,1
149,141,1
149,143,1
149,147,1
150,151,1
152,130,1
152,141,1
152,144,1
157,37,1
157,158,1
158,157,1
173,13,1
173,16,1
173,141,1
173,143,1
174,16,1
174,32,1
174,127,1
174,143,1
174,341,1
175,32,1
175,43,1
175,44,1
178,16,1
178,173,1
180,141,1
197,16,1
197,199,1
199,16,1
199,65,1
199,112,1
300,118,1
310,9,1
320,8,1
320,9,1
321,21,1
321,173,1
321,350,1
321,351,1
321,352,1
322,325,1
322,340,1
324,340,1
325,141,1
326,68,1
326,341,1
327,32,1
327,340,1
327,341,1
328,32,1
328,327,1
329,32,1
329,380,1
330,141,1
330,339,1
330,340,1
331,339,1
337,341,1
338,37,1
338,60,1
338,152,1
339,141,1
339,144,1
340,32,1
341,9,1
341,114,1
341,117,1
341,118,1
341,141,1
341,143,1
341,340,1
341,342,1
341,350,1
342,141,1
342,340,1
342,341,1
343,8,1
343,340,1
343,341,1
343,342,1
345,118,1
345,119,1
345,125,1
345,341,1
345,342,1
346,9,1
346,118,1
346,119,1
346,342,1
346,347,1
346,348,1
347,341,1
347,342,1
348,340,1
348,342,1
349,341,1
349,342,1
350,141,1
350,173,1
351,32,1
351,44,1
351,47,1
352,158,1
352,341,1
352,350,1
353,21,1
353,174,1
353,321,1
360,141,1
360,173,1
360,340,1
360,341,1
360,342,1
360,350,1
370,174,1
371,32,1
371,174,1
371,340,1
371,341,1
371,342,1
372,174,1
372,370,1
373,32,1
373,174,1
373,327,1
373,328,1
373,340,1
373,341,1
373,370,1
374,327,1
374,340,1
374,352,1
375,174,1
375,352,1
375,370,1
375,374,1
379,141,1
379,342,1
379,380,1
379,382,1
379,386,1
380,32,1
380,381,1
380,382,1
380,383,1
380,384,1
380,385,1
380,386,1
380,390,1
380,392,1
381,32,1
381,380,1
382,380,1
383,32,1
383,380,1
384,380,1
385,380,1
386,341,1
386,380,1
387,32,1
387,341,1
387,380,1
387,383,1
388,32,1
388,327,1
388,341,1
388,379,1
388,380,1
388,389,1
389,32,1
389,380,1
390,32,1
390,327,1
390,328,1
390,380,1
390,389,1
392,32,1
392,341,1
392,350,1
392,352,1
392,380,1
392,390,1
433,141,1
433,350,1
434,324,1
434,339,1
442,119,1
442,340,1
442,342,1
442,348,1
442,349,1
443,341,1
