source,target,value
44,32,1
44,43,1
89,32,1
89,340,1
89,341,1
118,340,1
118,341,1
118,342,1
129,32,1
129,174,1
129,322,1
129,380,1
129,381,1
129,382,1
129,383,1
157,158,1
158,157,1
341,340,1
342,340,1
342,341,1
347,340,1
347,341,1
347,342,1
360,340,1
360,341,1
360,342,1
372,174,1
373,32,1
373,174,1
373,327,1
373,328,1
373,370,1
375,352,1
375,370,1
375,374,1
381,380,1
382,380,1
383,380,1
384,380,1
385,380,1
386,380,1
387,380,1
389,380,1
390,380,1
390,328,1
392,341,1
392,350,1
392,352,1
392,380,1
