layer,status,count
API/RPC,Draft,1
API/RPC,Final,3
Applications,Deferred,1
Applications,Draft,25
Applications,Final,32
Applications,Proposed,10
Applications,Rejected,6
Applications,Replaced,2
Applications,Withdrawn,4
Consensus (hard fork),Draft,1
Consensus (hard fork),Rejected,9
Consensus (hard fork),Withdrawn,2
Consensus (soft fork),Draft,11
Consensus (soft fork),Final,17
Consensus (soft fork),Proposed,1
Consensus (soft fork),Rejected,3
Consensus (soft fork),Withdrawn,5
Peer Services,Deferred,1
Peer Services,Draft,6
Peer Services,Final,12
Peer Services,Obsolete,1
Peer Services,Proposed,1
Peer Services,Rejected,4
Peer Services,Replaced,1
Peer Services,Withdrawn,2
Unknown,Active,3
Unknown,Deferred,2
Unknown,Draft,5
Unknown,Final,4
Unknown,Rejected,2
Unknown,Replaced,1
Unknown,Withdrawn,1
