edge_type,source,target,value
explicit_references,1,8,1
explicit_references,2,1,1
explicit_references,2,123,1
explicit_references,2,9,1
explicit_references,8,34,1
explicit_references,8,65,1
explicit_references,8,66,1
explicit_references,8,9,1
explicit_references,9,34,1
explicit_references,9,65,1
explicit_references,9,66,1
explicit_references,12,11,1
explicit_references,13,12,1
explicit_references,13,16,1
explicit_references,13,17,1
explicit_references,15,70,1
explicit_references,16,11,1
explicit_references,16,12,1
explicit_references,16,13,1
explicit_references,17,11,1
explicit_references,17,12,1
explicit_references,17,13,1
explicit_references,17,16,1
explicit_references,18,11,1
explicit_references,18,13,1
explicit_references,18,16,1
explicit_references,19,11,1
explicit_references,20,21,1
explicit_references,21,20,1
explicit_references,22,16,1
explicit_references,22,23,1
explicit_references,22,34,1
explicit_references,23,22,1
explicit_references,39,32,1
explicit_references,42,16,1
explicit_references,42,34,1
explicit_references,42,62,1
explicit_references,43,32,1
explicit_references,43,44,1
explicit_references,44,32,1
explicit_references,44,43,1
explicit_references,45,32,1
explicit_references,45,43,1
explicit_references,45,44,1
explicit_references,46,32,1
explicit_references,46,44,1
explicit_references,46,49,1
explicit_references,46,65,1
explicit_references,46,84,1
explicit_references,46,86,1
explicit_references,47,32,1
explicit_references,47,43,1
explicit_references,47,44,1
explicit_references,48,32,1
explicit_references,48,43,1
explicit_references,48,44,1
explicit_references,48,67,1
explicit_references,49,141,1
explicit_references,49,16,1
explicit_references,49,32,1
explicit_references,49,43,1
explicit_references,49,44,1
explicit_references,60,37,1
explicit_references,62,34,1
explicit_references,65,66,1
explicit_references,65,9,1
explicit_references,66,34,1
explicit_references,66,62,1
explicit_references,67,11,1
explicit_references,67,16,1
explicit_references,67,45,1
explicit_references,68,112,1
explicit_references,68,113,1
explicit_references,68,9,1
explicit_references,69,30,1
explicit_references,70,71,1
explicit_references,70,72,1
explicit_references,72,21,1
explicit_references,72,70,1
explicit_references,73,70,1
explicit_references,74,70,1
explicit_references,75,32,1
explicit_references,75,70,1
explicit_references,78,21,1
explicit_references,78,79,1
explicit_references,79,125,1
explicit_references,79,69,1
explicit_references,80,32,1
explicit_references,80,43,1
explicit_references,80,44,1
explicit_references,81,32,1
explicit_references,81,43,1
explicit_references,81,44,1
explicit_references,81,80,1
explicit_references,83,32,1
explicit_references,83,44,1
explicit_references,83,45,1
explicit_references,84,141,1
explicit_references,84,173,1
explicit_references,84,32,1
explicit_references,84,43,1
explicit_references,84,44,1
explicit_references,84,49,1
explicit_references,85,32,1
explicit_references,85,39,1
explicit_references,85,44,1
explicit_references,86,32,1
explicit_references,86,341,1
explicit_references,86,43,1
explicit_references,86,44,1
explicit_references,86,49,1
explicit_references,86,84,1
explicit_references,87,129,1
explicit_references,87,174,1
explicit_references,87,32,1
explicit_references,87,39,1
explicit_references,87,43,1
explicit_references,87,44,1
explicit_references,87,45,1
explicit_references,87,67,1
explicit_references,88,32,1
explicit_references,88,43,1
explicit_references,88,44,1
explicit_references,88,49,1
explicit_references,88,84,1
explicit_references,90,34,1
explicit_references,90,65,1
explicit_references,90,66,1
explicit_references,90,9,1
explicit_references,91,141,1
explicit_references,91,143,1
explicit_references,91,147,1
explicit_references,91,148,1
explicit_references,91,149,1
explicit_references,91,16,1
explicit_references,91,66,1
explicit_references,91,9,1
explicit_references,93,173,1
explicit_references,93,32,1
explicit_references,93,39,1
explicit_references,98,116,1
explicit_references,99,12,1
explicit_references,99,16,1
explicit_references,99,17,1
explicit_references,99,30,1
explicit_references,99,65,1
explicit_references,99,66,1
explicit_references,100,34,1
explicit_references,101,100,1
explicit_references,101,34,1
explicit_references,105,100,1
explicit_references,105,34,1
explicit_references,106,100,1
explicit_references,107,101,1
explicit_references,109,9,1
explicit_references,111,37,1
explicit_references,112,113,1
explicit_references,112,65,1
explicit_references,112,68,1
explicit_references,112,9,1
explicit_references,113,112,1
explicit_references,113,65,1
explicit_references,113,68,1
explicit_references,113,9,1
explicit_references,114,112,1
explicit_references,114,141,1
explicit_references,114,16,1
explicit_references,114,9,1
explicit_references,115,9,1
explicit_references,116,112,1
explicit_references,116,141,1
explicit_references,116,143,1
explicit_references,116,16,1
explicit_references,116,65,1
explicit_references,116,68,1
explicit_references,116,8,1
explicit_references,116,98,1
explicit_references,117,114,1
explicit_references,117,116,1
explicit_references,117,141,1
explicit_references,117,16,1
explicit_references,117,68,1
explicit_references,117,8,1
explicit_references,118,112,1
explicit_references,118,141,1
explicit_references,118,30,1
explicit_references,118,340,1
explicit_references,118,341,1
explicit_references,118,342,1
explicit_references,118,350,1
explicit_references,118,68,1
explicit_references,119,112,1
explicit_references,119,341,1
explicit_references,119,65,1
explicit_references,119,9,1
explicit_references,120,121,1
explicit_references,120,21,1
explicit_references,120,70,1
explicit_references,121,120,1
explicit_references,121,21,1
explicit_references,121,70,1
explicit_references,124,112,1
explicit_references,124,16,1
explicit_references,124,32,1
explicit_references,124,65,1
explicit_references,125,112,1
explicit_references,125,68,1
explicit_references,126,69,1
explicit_references,127,174,1
explicit_references,127,44,1
explicit_references,129,174,1
explicit_references,129,32,1
explicit_references,129,322,1
explicit_references,129,380,1
explicit_references,129,381,1
explicit_references,129,382,1
explicit_references,129,383,1
explicit_references,129,39,1
explicit_references,129,44,1
explicit_references,132,1,1
explicit_references,134,68,1
explicit_references,135,34,1
explicit_references,135,65,1
explicit_references,135,66,1
explicit_references,135,9,1
explicit_references,136,173,1
explicit_references,136,350,1
explicit_references,137,322,1
explicit_references,140,11,1
explicit_references,140,30,1
explicit_references,140,34,1
explicit_references,140,62,1
explicit_references,140,66,1
explicit_references,141,112,1
explicit_references,141,143,1
explicit_references,141,144,1
explicit_references,141,146,1
explicit_references,141,16,1
explicit_references,141,173,1
explicit_references,141,62,1
explicit_references,141,65,1
explicit_references,141,68,1
explicit_references,141,70,1
explicit_references,141,9,1
explicit_references,142,13,1
explicit_references,142,141,1
explicit_references,142,16,1
explicit_references,142,47,1
explicit_references,142,70,1
explicit_references,143,141,1
explicit_references,143,144,1
explicit_references,144,130,1
explicit_references,144,141,1
explicit_references,145,141,1
explicit_references,145,22,1
explicit_references,145,23,1
explicit_references,145,9,1
explicit_references,146,141,1
explicit_references,146,152,1
explicit_references,146,62,1
explicit_references,146,66,1
explicit_references,146,9,1
explicit_references,147,141,1
explicit_references,147,143,1
explicit_references,147,152,1
explicit_references,147,62,1
explicit_references,147,9,1
explicit_references,148,141,1
explicit_references,148,143,1
explicit_references,148,147,1
explicit_references,148,16,1
explicit_references,148,9,1
explicit_references,149,141,1
explicit_references,149,143,1
explicit_references,149,147,1
explicit_references,149,8,1
explicit_references,149,9,1
explicit_references,150,151,1
explicit_references,152,130,1
explicit_references,152,141,1
explicit_references,152,144,1
explicit_references,157,111,1
explicit_references,157,158,1
explicit_references,157,37,1
explicit_references,158,157,1
explicit_references,158,37,1
explicit_references,173,13,1
explicit_references,173,141,1
explicit_references,173,142,1
explicit_references,173,143,1
explicit_references,173,350,1
explicit_references,174,127,1
explicit_references,174,143,1
explicit_references,174,32,1
explicit_references,174,341,1
explicit_references,174,352,1
explicit_references,174,353,1
explicit_references,174,374,1
explicit_references,175,32,1
explicit_references,175,43,1
explicit_references,175,44,1
explicit_references,178,16,1
explicit_references,180,141,1
explicit_references,197,199,1
explicit_references,300,118,1
explicit_references,320,8,1
explicit_references,320,9,1
explicit_references,322,325,1
explicit_references,322,340,1
explicit_references,324,31,1
explicit_references,324,340,1
explicit_references,325,141,1
explicit_references,326,341,1
explicit_references,326,68,1
explicit_references,327,32,1
explicit_references,327,340,1
explicit_references,327,341,1
explicit_references,327,342,1
explicit_references,328,32,1
explicit_references,328,327,1
explicit_references,329,32,1
explicit_references,329,380,1
explicit_references,329,39,1
explicit_references,329,44,1
explicit_references,330,141,1
explicit_references,330,339,1
explicit_references,330,340,1
explicit_references,331,133,1
explicit_references,331,330,1
explicit_references,331,339,1
explicit_references,338,133,1
explicit_references,338,152,1
explicit_references,338,155,1
explicit_references,338,35,1
explicit_references,338,37,1
explicit_references,338,60,1
explicit_references,339,141,1
explicit_references,339,144,1
explicit_references,340,118,1
explicit_references,340,146,1
explicit_references,340,32,1
explicit_references,340,327,1
explicit_references,340,341,1
explicit_references,340,62,1
explicit_references,340,66,1
explicit_references,341,114,1
explicit_references,341,117,1
explicit_references,341,118,1
explicit_references,341,141,1
explicit_references,341,143,1
explicit_references,341,340,1
explicit_references,341,342,1
explicit_references,341,350,1
explicit_references,341,9,1
explicit_references,341,98,1
explicit_references,342,112,1
explicit_references,342,141,1
explicit_references,342,143,1
explicit_references,342,340,1
explicit_references,342,341,1
explicit_references,342,65,1
explicit_references,343,148,1
explicit_references,343,340,1
explicit_references,343,341,1
explicit_references,343,342,1
explicit_references,343,8,1
explicit_references,343,91,1
explicit_references,345,112,1
explicit_references,345,119,1
explicit_references,345,125,1
explicit_references,345,340,1
explicit_references,345,341,1
explicit_references,345,342,1
explicit_references,345,65,1
explicit_references,347,341,1
explicit_references,347,342,1
explicit_references,348,118,1
explicit_references,348,119,1
explicit_references,348,340,1
explicit_references,348,341,1
explicit_references,348,342,1
explicit_references,348,347,1
explicit_references,348,349,1
explicit_references,349,118,1
explicit_references,349,341,1
explicit_references,349,342,1
explicit_references,350,141,1
explicit_references,350,173,1
explicit_references,351,157,1
explicit_references,351,158,1
explicit_references,351,32,1
explicit_references,351,380,1
explicit_references,351,43,1
explicit_references,351,44,1
explicit_references,351,47,1
explicit_references,352,143,1
explicit_references,352,158,1
explicit_references,352,173,1
explicit_references,352,32,1
explicit_references,352,340,1
explicit_references,352,341,1
explicit_references,352,43,1
explicit_references,352,44,1
explicit_references,352,47,1
explicit_references,353,21,1
explicit_references,370,174,1
explicit_references,371,174,1
explicit_references,371,32,1
explicit_references,371,340,1
explicit_references,371,341,1
explicit_references,371,370,1
explicit_references,372,174,1
explicit_references,372,32,1
explicit_references,372,340,1
explicit_references,372,370,1
explicit_references,373,174,1
explicit_references,373,32,1
explicit_references,373,327,1
explicit_references,373,328,1
explicit_references,373,340,1
explicit_references,373,341,1
explicit_references,373,370,1
explicit_references,374,327,1
explicit_references,374,340,1
explicit_references,374,352,1
explicit_references,375,352,1
explicit_references,375,370,1
explicit_references,375,374,1
explicit_references,379,141,1
explicit_references,379,152,1
explicit_references,379,342,1
explicit_references,379,380,1
explicit_references,379,382,1
explicit_references,379,386,1
explicit_references,380,32,1
explicit_references,380,39,1
explicit_references,386,341,1
explicit_references,387,383,1
explicit_references,388,129,1
explicit_references,388,32,1
explicit_references,388,379,1
explicit_references,388,380,1
explicit_references,388,389,1
explicit_references,388,390,1
explicit_references,388,44,1
explicit_references,388,48,1
explicit_references,388,49,1
explicit_references,388,84,1
explicit_references,388,86,1
explicit_references,389,32,1
explicit_references,389,380,1
explicit_references,389,88,1
explicit_references,390,32,1
explicit_references,390,327,1
explicit_references,390,328,1
explicit_references,390,380,1
explicit_references,431,125,1
requires,118,340,1
requires,118,341,1
requires,118,342,1
requires,341,340,1
requires,342,340,1
requires,342,341,1
requires,372,174,1
requires,375,352,1
requires,375,370,1
requires,375,374,1
replaces,2,1,1
replaces,78,79,1
replaces,135,9,1
replaces,173,142,1
replaces,324,151,1
replaces,350,173,1
superseded_by,1,2,1
superseded_by,79,78,1
superseded_by,151,324,1
superseded_by,173,350,1
