id,status,compliance_score,bip2_score,bip3_score
1,Replaced,57.14,58.33,56.25
2,Active,80.0,83.33,77.78
3,Proposed,33.33,66.67,0.0
8,Draft,93.1,100.0,88.24
9,Final,89.66,100.0,82.35
10,Withdrawn,67.86,75.0,62.5
11,Final,71.43,83.33,62.5
12,Withdrawn,71.43,83.33,62.5
13,Final,71.43,83.33,62.5
14,Final,53.57,58.33,50.0
15,Deferred,53.57,58.33,50.0
16,Final,71.43,83.33,62.5
17,Withdrawn,86.21,100.0,76.47
18,Proposed,86.21,100.0,76.47
19,Rejected,86.21,100.0,76.47
20,Replaced,86.21,100.0,76.47
21,Replaced,71.43,83.33,62.5
22,Final,86.21,100.0,76.47
23,Final,86.21,100.0,76.47
30,Final,86.21,100.0,76.47
31,Final,71.43,83.33,62.5
32,Final,58.33,91.67,25.0
33,Rejected,64.29,75.0,56.25
34,Final,71.43,83.33,62.5
35,Final,71.43,83.33,62.5
36,Rejected,86.21,100.0,76.47
37,Final,86.21,100.0,76.47
38,Draft,86.21,100.0,76.47
39,Final,82.76,91.67,76.47
42,Final,75.86,83.33,70.59
43,Final,67.86,75.0,62.5
44,Final,67.86,75.0,62.5
45,Proposed,67.86,83.33,56.25
46,Draft,86.21,91.67,82.35
47,Final,45.83,75.0,16.67
48,Final,86.21,100.0,76.47
49,Final,79.31,91.67,70.59
50,Final,72.41,75.0,70.59
52,Draft,89.66,100.0,82.35
53,Draft,89.66,100.0,82.35
54,Draft,33.33,66.67,0.0
60,Rejected,82.76,100.0,70.59
61,Final,71.43,83.33,62.5
62,Withdrawn,62.5,100.0,25.0
64,Obsolete,71.43,83.33,62.5
65,Final,82.76,91.67,76.47
66,Final,86.21,100.0,76.47
67,Proposed,82.76,100.0,70.59
68,Final,67.86,83.33,56.25
69,Proposed,86.21,100.0,76.47
70,Final,67.86,75.0,62.5
71,Final,71.43,83.33,62.5
72,Final,71.43,83.33,62.5
73,Final,67.86,83.33,56.25
74,Rejected,86.21,100.0,76.47
75,Final,79.31,91.67,70.59
77,Draft,33.33,66.67,0.0
78,Draft,80.0,75.0,83.33
79,Replaced,89.66,100.0,82.35
80,Deferred,82.76,91.67,76.47
81,Deferred,82.76,91.67,76.47
83,Rejected,86.21,100.0,76.47
84,Final,75.86,83.33,70.59
85,Final,89.66,100.0,82.35
86,Final,79.31,83.33,76.47
87,Proposed,86.21,100.0,76.47
88,Proposed,89.66,100.0,82.35
90,Final,89.66,100.0,82.35
91,Final,86.21,100.0,76.47
93,Draft,82.76,75.0,88.24
94,Final,86.21,100.0,76.47
98,Draft,89.66,100.0,82.35
99,Rejected,82.76,91.67,76.47
100,Rejected,86.21,100.0,76.47
101,Withdrawn,71.43,83.33,62.5
102,Rejected,71.43,83.33,62.5
103,Withdrawn,86.21,100.0,76.47
104,Rejected,86.21,100.0,76.47
105,Rejected,86.21,100.0,76.47
106,Rejected,71.43,83.33,62.5
107,Rejected,86.21,100.0,76.47
109,Rejected,82.76,100.0,70.59
111,Final,86.21,100.0,76.47
112,Final,86.21,100.0,76.47
113,Final,82.76,100.0,70.59
114,Rejected,86.21,100.0,76.47
115,Rejected,86.21,100.0,76.47
116,Draft,89.66,100.0,82.35
117,Draft,89.66,100.0,82.35
118,Draft,80.0,75.0,83.33
119,Draft,86.21,91.67,82.35
120,Withdrawn,71.43,83.33,62.5
121,Withdrawn,71.43,83.33,62.5
122,Draft,89.66,100.0,82.35
123,Active,89.66,100.0,82.35
124,Rejected,89.66,100.0,82.35
125,Final,82.76,91.67,76.47
126,Draft,79.31,83.33,76.47
127,Draft,89.66,100.0,82.35
129,Proposed,75.86,75.0,76.47
130,Final,86.21,100.0,76.47
131,Rejected,82.76,100.0,70.59
132,Withdrawn,86.21,91.67,82.35
133,Final,86.21,100.0,76.47
134,Rejected,82.76,91.67,76.47
135,Rejected,90.0,100.0,83.33
136,Draft,82.76,75.0,88.24
137,Final,86.21,100.0,76.47
140,Rejected,86.21,100.0,76.47
141,Final,86.21,100.0,76.47
142,Withdrawn,86.21,100.0,76.47
143,Final,82.76,100.0,70.59
144,Final,86.21,100.0,76.47
145,Final,86.21,100.0,76.47
146,Withdrawn,86.21,100.0,76.47
147,Final,86.21,100.0,76.47
148,Final,86.21,100.0,76.47
149,Withdrawn,86.21,100.0,76.47
150,Deferred,86.21,100.0,76.47
151,Replaced,86.21,100.0,76.47
152,Final,82.76,91.67,76.47
154,Withdrawn,86.21,100.0,76.47
155,Final,75.86,75.0,76.47
156,Rejected,86.21,100.0,76.47
157,Final,86.67,100.0,77.78
158,Final,86.67,100.0,77.78
159,Final,86.21,100.0,76.47
171,Rejected,86.21,100.0,76.47
172,Draft,93.1,100.0,88.24
173,Final,76.67,75.0,77.78
174,Final,75.86,75.0,76.47
175,Rejected,89.66,100.0,82.35
176,Draft,93.1,100.0,88.24
177,Draft,79.31,66.67,88.24
178,Draft,89.66,100.0,82.35
179,Draft,93.1,100.0,88.24
180,Rejected,86.21,100.0,76.47
197,Draft,86.21,91.67,82.35
199,Rejected,82.76,91.67,76.47
300,Draft,89.66,100.0,82.35
301,Draft,89.66,100.0,82.35
310,Draft,93.1,100.0,88.24
320,Draft,89.66,100.0,82.35
321,Proposed,86.67,100.0,77.78
322,Draft,86.21,91.67,82.35
324,Final,76.67,75.0,77.78
325,Proposed,86.21,100.0,76.47
326,Draft,89.66,91.67,88.24
327,Final,75.86,66.67,82.35
328,Proposed,89.66,100.0,82.35
329,Draft,93.1,100.0,88.24
330,Draft,89.66,100.0,82.35
331,Draft,82.76,91.67,76.47
337,Draft,72.41,66.67,76.47
338,Withdrawn,86.21,100.0,76.47
339,Final,86.21,100.0,76.47
340,Final,72.41,66.67,76.47
341,Final,76.67,75.0,77.78
342,Final,76.67,75.0,77.78
343,Final,86.21,100.0,76.47
345,Withdrawn,72.41,75.0,70.59
347,Draft,89.66,100.0,82.35
348,Draft,33.33,66.67,0.0
349,Draft,33.33,66.67,0.0
350,Final,76.67,75.0,77.78
351,Draft,86.21,91.67,82.35
352,Proposed,75.86,75.0,76.47
353,Proposed,86.21,100.0,76.47
370,Final,75.86,75.0,76.47
371,Final,75.86,75.0,76.47
372,Draft,76.67,75.0,77.78
373,Proposed,76.67,75.0,77.78
374,Draft,79.31,75.0,82.35
375,Draft,80.0,75.0,83.33
379,Draft,33.33,66.67,0.0
380,Final,89.66,100.0,82.35
381,Final,90.0,100.0,83.33
382,Final,90.0,100.0,83.33
383,Final,90.0,100.0,83.33
384,Final,90.0,100.0,83.33
385,Final,90.0,100.0,83.33
386,Final,90.0,100.0,83.33
387,Final,90.0,100.0,83.33
388,Proposed,86.21,100.0,76.47
389,Draft,93.33,100.0,88.89
390,Draft,93.33,100.0,88.89
431,Draft,82.76,83.33,82.35
443,Draft,82.76,83.33,82.35
