year,status,count
2011,Deferred,1
2011,Final,3
2011,Replaced,2
2011,Withdrawn,2
2012,Draft,1
2012,Final,9
2012,Proposed,1
2012,Rejected,3
2012,Replaced,1
2012,Withdrawn,1
2013,Final,6
2013,Rejected,1
2014,Deferred,2
2014,Final,5
2014,Obsolete,1
2014,Proposed,1
2014,Withdrawn,1
2015,Active,1
2015,Draft,1
2015,Final,11
2015,Proposed,2
2015,Rejected,10
2015,Withdrawn,6
2016,Active,1
2016,Deferred,1
2016,Draft,1
2016,Final,8
2016,Rejected,5
2016,Replaced,1
2016,Withdrawn,1
2017,Draft,8
2017,Final,8
2017,Rejected,7
2017,Withdrawn,2
2018,Draft,4
2018,Replaced,1
2019,Draft,6
2019,Final,3
2019,Proposed,1
2020,Draft,1
2020,Final,7
2020,Proposed,3
2020,Withdrawn,1
2021,Draft,2
2021,Final,11
2022,Draft,6
2022,Final,1
2022,Proposed,1
2023,Draft,4
2023,Proposed,1
2023,Withdrawn,1
2024,Draft,6
2024,Final,2
2024,Proposed,4
2025,Draft,6
2025,Proposed,1
