source,target,count
Deployed,Specification,58
Closed,Specification,41
Draft,Specification,37
Applications,Deployed,33
Applications,Draft,27
Draft,Informational,17
Consensus (soft fork),Deployed,17
Deployed,Informational,16
Peer Services,Deployed,16
Consensus (soft fork),Draft,16
Applications,Closed,15
Applications,Complete,13
Complete,Specification,12
Consensus (hard fork),Closed,11
Peer Services,Closed,10
Consensus (soft fork),Closed,9
Closed,Informational,8
Other,Closed,7
Other,Deployed,7
Other,Draft,6
Closed,Process,3
API/RPC,Deployed,3
Complete,Informational,3
Peer Services,Draft,3
Deployed,Process,2
Consensus (soft fork),Complete,2
Consensus (hard fork),Draft,1
API/RPC,Draft,1
